SOW Product Name,Canonical SKU,Collection,Length,Depth,Height,Arm Height,Sit Height,Base Weight,MSRP,Allowed Option Categories
"TAYLOR BENCH (DINING HEIGHT) 72"" x 23"" x 18"" SH",FIN-TAY-BCH-72X23,Taylor,72,23,18,,18'',,"$2,340.00",
"BRAVADA ROUNDED BENCH 96"" X 34"" X 18"" SH",FIN-BRV-BCH-96X34,Bravada,96,34,18,,,,"$2,900.00",
"BRAVADA ROUNDED BACKED BENCH 96"" X 34"" X 18"" SH",FIN-BRV-BCH-96X34,Bravada,96,34,18,,,,"$3,400",
"BRAVADA OTTOMAN 34"" x 34"" x 16""",FIN-BRV-OTT-34X34,Bravada,34,34,16,,16'',,"$1,060.00",Fabric|Powder
"BRAVADA OTTOMAN 34"" x 42"" x 16""",FIN-BRV-OTT-34X42,Bravada,34,42,16,,16'',,"$1,260.00",Fabric|Powder
"BRAVADA OTTOMAN 34"" x 60"" x 16""",FIN-BRV-OTT-34X60,Bravada,34,60,16,,16'',,"$1,500.00",Fabric|Powder
"BRAVADA OTTOMAN 34"" x 72"" x 16""",FIN-BRV-OTT-34X72,Bravada,34,72,16,,16'',,"$1,700.00",Fabric|Powder
"BROOKLYN OTTOMAN 22"" x 42"" x 17""",FIN-BRK-OTT-22X42,Brooklyn,22,42,17,,17'',,$935.00,Fabric|Powder
"BROOKLYN OTTOMAN 22"" x 60"" x 17""",FIN-BRK-OTT-22X60,Brooklyn,22,60,17,,17'',,"$1,080.00",Fabric|Powder
"BROOKLYN OTTOMAN 22"" x 72"" x 17""",FIN-BRK-OTT-22X72,Brooklyn,22,72,17,,17'',,"$1,300.00",Fabric|Powder
"BROOKLYN OTTOMAN 34"" x 34"" x 17""",FIN-BRK-OTT-34X34,Brooklyn,34,34,17,,17'',,"$1,180.00",Fabric|Powder
"BROOKLYN OTTOMAN 34"" x 42"" x 17""",FIN-BRK-OTT-34X42,Brooklyn,34,42,17,,17'',,"$1,380.00",Fabric|Powder
"BROOKLYN OTTOMAN 34"" x 60"" x 17""",FIN-BRK-OTT-34X60,Brooklyn,34,60,17,,17'',,"$1,650.00",Fabric|Powder
"BROOKLYN OTTOMAN 34"" x 72"" x 17""",FIN-BRK-OTT-34X72,Brooklyn,34,72,17,,17'',,"$1,900.00",Fabric|Powder
"BROOKLYN OTTOMAN 56"" x 42"" x 17""",FIN-BRK-OTT-56X42,Brooklyn,56,42,17,,17'',,"$1,740.00",Fabric|Powder
"OCEAN OTTOMAN 42"" x 22"" x 16""",FIN-OCN-OTT-42X22,Ocean,42,22,16,,16'',,"$1,080.00",Fabric|Powder
"OCEAN OTTOMAN 60"" x 22"" x 16""",FIN-OCN-OTT-60X22,Ocean,60,22,16,,16'',,"$1,280.00",Fabric|Powder
