Original Name,Canonical Hub SKU,MSRP
"STAR LEG TABLE (COUNTER HEIGHT) 36"" x 36"" x 36""",FIN-OCN-CNT-TAB-36X36,"$2,940.00"
"STAR LEG TABLE (COUNTER HEIGHT) 42"" x 42"" x 36""",FIN-OCN-CNT-TAB-42X42,"$3,060.00"
"STAR LEG TABLE (DINING HEIGHT) 36"" x 36"" x 30""",FIN-OCN-DIN-TAB-36X36,"$2,880.00"
"STAR LEG TABLE (DINING HEIGHT) 42"" x 42"" x 30""",FIN-OCN-DIN-TAB-42X42,"$3,000.00"
"DINING BENCH w/NO ARMS 72"" x 22"" x 18"" SH",FIN-OCN-DIN-BCH-72X22,"$1,950.00"
"DINING BENCH w/NO ARMS 96"" x 22"" x 18"" SH",FIN-OCN-DIN-BCH-96X22,"$2,400.00"
"FLY LEG BARSTOOL (BAR HEIGHT) 18"" x 18"" x 30"" SH",FIN-OCN-FLY-BST-18X18,$810.00
"FLY LEG BARSTOOL (COUNTER HEIGHT) 18"" x 18"" x 24"" SH",FIN-OCN-FLY-BST-18X18,$780.00
"FLY LEG BENCH (DINING HEIGHT) 42"" x 18"" x 18"" SH",FIN-OCN-BCH-42X18,"$1,320.00"
"FLY LEG CHAIR (DINING HEIGHT) 18"" x 18"" x 18"" SH",FIN-OCN-DIN-CHA-18X18,$750.00
"HALF BACK BARSTOOL (BAR HEIGHT) 17"" x 21"" x 30"" SH",FIN-OCN-FLY-BST-17X21,$830.00
"HALF BACK BARSTOOL (COUNTER HEIGHT) 17"" x 21"" x 24"" SH",FIN-OCN-FLY-BST-17X21,$800.00
"TAYLOR BARSTOOL (BAR HEIGHT) 19"" x 23"" x 30"" SH",FIN-OCN-BST-19X23,$855.00
"TAYLOR BARSTOOL (COUNTER HEIGHT) 19"" x 23"" x 24"" SH",FIN-OCN-BST-18X23,$825.00
"TAYLOR BARSTOOL w/ARMS (BAR HEIGHT) 24"" x 23"" x 30"" SH",FIN-OCN-BST-24X23,$955.00
"TAYLOR CHAIR (DINING HEIGHT) 19"" x 23"" x 18"" SH",FIN-OCN-DIN-CHA-19X23,$795.00
"TAYLOR CHAIR w/ARMS (DINING HEIGHT) 24"" x 23"" x 18"" SH",FIN-OCN-DIN-CHA-24X23,$895.00
"BRAVADA OTTOMAN 22"" x 30"" x 16""",FIN-BRV-OTT-30X22,$750.00
"BRAVADA OTTOMAN 22"" x 42"" x 16""",FIN-BRV-OTT-42X22,$850.00
"BRAVADA OTTOMAN 22"" x 60"" x 16""",FIN-BRV-OTT-60X22,$980.00
"BRAVADA OTTOMAN 22"" x 72"" x 16""",FIN-BRV-OTT-72X22,"$1,180.00"
"OCEAN OTTOMAN 30"" x 22"" x 16""",FIN-OCN-OTT-30X22,$780.00
"60"" ROUND SWING 72"" x 12"" SH",FIN-BRV-SWG-60X12,"$3,120.00"
"BRAVADA SWING 66"" x 42"" x 23"" BH",FIN-BRV-SWG-66X42,"$3,900.00"
"BRAVADA SWING 72"" x 42"" x 23"" BH",FIN-BRV-SWG-72X42,"$4,400.00"
"BRAVADA SWING 96"" x 32"" x 23"" BH",FIN-BRV-SWG-96X32,"$5,400.00"
"SQUARE PILLOW 17"" X 17""",FIN-BRV-MIS-17,$65.00
"SQUARE PILLOW 23"" X 23""",FIN-BRV-MIS-23,$95.00
"LUMBAR PILLOW 12""  X 24""",FIN-BRV-MIS-12X24,$65.00
KINDLE LIVING HEATER (Allison),FIN-KIN-MIS,"$4,995.00"
KINDLE LIVING LAMP (Allison),FIN-KIN-MIS,"$4,975.00"
"LAYLO LOUNGER, NO RISERS",FIN-TJM-MIS,$599.99
"LAYLO LOUNGER W/4"" RISERS",FIN-TJM-MIS,$729.99
FREELO CHAIR SPLASH,FIN-TJM-CHA,$499.99
"TWO SHAYZ LOUNGERS FOR 5"" DEPTH",FIN-TJM-MIS,"$1,599.99"
MOON CHAIR W/CUP HOLDERS,FIN-TJM-CHA,$749.99
TWO WOOSAH CHAIRS,FIN-TJM-MIS,"$1,759.99"
Ripple Table,FIN-TJM-TAB,$464.99
MARINA 2x2 UMBRELLA NO BASE,FIN-MLN-UMB,$700.00
LIDO UMBRELLA,FIN-TJM-UMB,$950.00
CANTILEVER UMBRELLA w/BASE,FIN-CAN-UMB,"$5,500.00"
